"","x"
"1","Oryza sativa"
"2","Oryza sativa Japonica Group"
"3","Oryza sativa Indica Group"
"4","Oryza coarctata"
"5","Oryza glumipatula"
"6","Oryza sativa indica subgroup"
"7","Oryza rufipogon"
"8","Oryza meridionalis"
"9","Oryza"
"10","Oryza punctata"
"11","Oryza officinalis"
"12","Oryza brachyantha"
"13","Oryza australiensis"
"14","Oryza glaberrima"
"15","Oryza longistaminata"
"16","Oryza latifolia"
"17","Oryza nivara"
"18","Oryza meyeriana"
"19","Oryza barthii"
"20","Oryza meyeriana var. granulata"
"21","Oryza alta"
"22","Oryza sativa Japonica Group x Oryza meridionalis"
"23","Oryza sativa aus subgroup"
"24","Oryza sativa f. spontanea"
"25","Oryza sativa Indica Group x Oryza sativa Japonica Group"
"26","Oryza glaberrima x Oryza sativa"
"27","Oryza sativa Japonica Group x Oryza sativa Indica Group"
"28","Oryza sativa Japonica Group x Oryza rufipogon"
"29","Oryza rufipogon x Oryza sativa Japonica Group"
"30","Oryza minuta"
