"","scrubbed_genus","scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"1","Oryza","Oryza sativa",40.33333,99.46667,1914-09-01,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"2","Oryza","Oryza rufipogon",-7.00462,141.49087,2015-05-27,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"3","Oryza","Oryza latifolia",10.45,-85.133333,1997-04-23,"GBIF","INBio","INBio","INBio","Plantae",3400,"specimen"
"4","Oryza","Oryza rufipogon",-16.640136,145.326108,1995-05-20,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"5","Oryza","Oryza glaberrima",9.383333,13.533333,1986-10-05,"GBIF","EFG","EFG","EFG","HEFG",2022,"specimen"
"6","Oryza","Oryza latifolia",-25.25,-57,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"7","Oryza","Oryza rufipogon",-15.83,142.03,1992-05-20,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"8","Oryza","Oryza brachyantha",8.84755,18.70812,1968-10-24,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"9","Oryza","Oryza latifolia",-26,-57,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"10","Oryza","Oryza rufipogon",-14.60681,144.692774,1987-07-30,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"11","Oryza","Oryza rufipogon",-15.075167,143.722556,2009-08-08,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"12","Oryza","Oryza longistaminata",-24.625,28.625,1974-03-10,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"13","Oryza","Oryza latifolia",-24,-59,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"14","Oryza","Oryza rufipogon",-15.1167,145.1833,1978-08-08,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"15","Oryza","Oryza latifolia",-27.7,-59.13,NA,"GBIF","BAA","BAA","BAA","HERB",4200,"specimen"
"16","Oryza","Oryza meyeriana",21.20333,105.17445,1891-10-14,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"17","Oryza","Oryza latifolia",-31.1507,-59.92493,1967-04-07,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"18","Oryza","Oryza latifolia",-27.7,-59.13,NA,"GBIF","LIL","LIL","LIL","HERB",4552,"specimen"
"19","Oryza","Oryza longistaminata",14.86667,-1.85,1972-12-12,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"20","Oryza","Oryza latifolia",11.247861,-73.196139,2010-10-16,"GBIF","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB",1900,"specimen"
"21","Oryza","Oryza latifolia",21.13,-105.18,1960-09-21,"GBIF","US","US","US","Botany",4885,"specimen"
"22","Oryza","Oryza latifolia",18.641667,-96.244444,1997-05-30,"GBIF","CIB-UV","CIB-UV","CIB-UV","CIB",3133,"specimen"
"23","Oryza","Oryza brachyantha",13.5619,-13.17404,1953-09-19,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"24","Oryza","Oryza latifolia",-24.84,-59.99,NA,"GBIF","BAB","BAB","BAB","HERB",4201,"specimen"
"25","Oryza","Oryza latifolia",8.325,-80.54166,1970-12-27,"MO","MO","MO","MO",NA,267,"specimen"
"26","Oryza","Oryza sativa",28.87,112,1974-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"27","Oryza","Oryza latifolia",15.25,-89.105,NA,"GBIF","NHMUK","NHMUK","NHMUK","BOT",1748,"specimen"
"28","Oryza","Oryza latifolia",17.583333,-92.816667,1981-12-22,"GBIF","INECOL","INECOL","INECOL","XAL",616,"specimen"
"29","Oryza","Oryza punctata",-20.929,48.267,1964-01-01,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"30","Oryza","Oryza meyeriana",-6.32028,106.40806,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"31","Oryza","Oryza australiensis",-17.739469,123.634072,1996-04-26,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"32","Oryza","Oryza rufipogon",12.84501,102.75777,1954-12-22,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"33","Oryza","Oryza australiensis",-17.993611,140.893889,2017-04-06,"GBIF","BRI","BRI","BRI","Herbrecs",4257,"specimen"
"34","Oryza","Oryza barthii",13.250032,-7.596574,1967-10-01,"GBIF","Moscow State University","Moscow State University","Moscow State University","MW",2464,"specimen"
"35","Oryza","Oryza longistaminata",12.316667,13.266667,1994-10-15,"GBIF","FR","FR","FR","Herbarium Senckenbergianum",4396,"specimen"
"36","Oryza","Oryza latifolia",-4.42,-77.649,1931-12-18,"GBIF","NHMUK","NHMUK","NHMUK","BOT",1748,"specimen"
"37","Oryza","Oryza australiensis",-15.5817,128.5182,1999-05-20,"GBIF","PERTH","PERTH","PERTH","PERTH",4699,"specimen"
"38","Oryza","Oryza australiensis",-17.366695,123.991002,1996-04-30,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"39","Oryza","Oryza punctata",-26.125,31.875,1969-11-22,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"40","Oryza","Oryza sativa",32.94,104.68,1959-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"41","Oryza","Oryza latifolia",-3.416667,-57.916667,1983-07-25,"GBIF","MPEG","MPEG","MPEG","HERBMG",583,"specimen"
"42","Oryza","Oryza rufipogon",25.17,110.35,1981-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"43","Oryza","Oryza barthii",15.06747,-3.57522,1971-10-10,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"44","Oryza","Oryza punctata",-18.375,30.125,1981-02-09,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"45","Oryza","Oryza barthii",10.46092,14.81464,1964-10-17,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"46","Oryza","Oryza latifolia",18.33792,-64.89302,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"47","Oryza","Oryza longistaminata",-17.06667,46.7,1965-06-16,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"48","Oryza","Oryza punctata",12.08708,15.01483,1936-08-01,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"49","Oryza","Oryza rufipogon",24.399244,109.379926,1980-01-01,"GBIF","IBK","IBK","IBK",NA,4483,"specimen"
"50","Oryza","Oryza latifolia",18.22139,-66.46222,NA,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",4405,"specimen"
"51","Oryza","Oryza latifolia",13.8,-90.07,2004-02-13,"GBIF","NHMUK","NHMUK","NHMUK","BOT",1748,"specimen"
"52","Oryza","Oryza longistaminata",10.85,14.95,1984-10-24,"GBIF","EFG","EFG","EFG","HEFG",2022,"specimen"
"53","Oryza","Oryza latifolia",18.22042,-66.59007,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"54","Oryza","Oryza punctata",15,30,1839-10-07,"GBIF","TUB","TUB","TUB","TUBvplantscoll",4840,"specimen"
"55","Oryza","Oryza latifolia",18.33805,-64.89404,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"56","Oryza","Oryza sativa",-12.897887,45.231992,1975-03-30,"GBIF","KMCC","KMCC","KMCC",NA,4003,"specimen"
"57","Oryza","Oryza glaberrima",10.649,-9.885,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"58","Oryza","Oryza sativa",36.066666,120.333336,1899-01-01,"GBIF","B","B","B","Herbarium Berolinense",4198,"specimen"
"59","Oryza","Oryza sativa",31.25795,120.20511,1876-09-30,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"60","Oryza","Oryza sativa",25.016667,102.683333,1998-08-10,"GBIF","MEL","MEL","MEL","MEL",4601,"specimen"
"61","Oryza","Oryza sativa",23.490446,111.295924,1939-01-01,"GBIF","IBK","IBK","IBK",NA,4483,"specimen"
"62","Oryza","Oryza sativa",23.490446,111.295924,1939-01-01,"GBIF","IBK","IBK","IBK",NA,4483,"specimen"
"63","Oryza","Oryza sativa",31.23042,121.4737,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"64","Oryza","Oryza sativa",31.23042,121.4737,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"65","Oryza","Oryza sativa",31.23042,121.4737,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"66","Oryza","Oryza sativa",31.23042,121.4737,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"67","Oryza","Oryza sativa",41.74294,86.16332,1907-09-10,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"68","Oryza","Oryza sativa",40.5,79.04,1958-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"69","Oryza","Oryza rufipogon",-13.24859,131.117881,1972-03-19,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"70","Oryza","Oryza rufipogon",-12.439375,136.295559,1996-04-27,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"71","Oryza","Oryza sativa",24.346119,111.716849,1933-01-01,"GBIF","IBSC","IBSC","IBSC",NA,4484,"specimen"
"72","Oryza","Oryza rufipogon",-14.6669,131.7014,2002-05-03,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"73","Oryza","Oryza rufipogon",-12.62,131.25,1956-02-28,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"74","Oryza","Oryza rufipogon",-12.565,131.3061,2002-05-05,"GBIF","NSW","NSW","NSW","NSW",4672,"specimen"
"75","Oryza","Oryza rufipogon",-12.231921,133.017858,1992-06-24,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"76","Oryza","Oryza rufipogon",-12.3403,133.0675,1948-10-28,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"77","Oryza","Oryza rufipogon",-15.7833,128.7333,1978-03-15,"GBIF","CANB","CANB","CANB","CANB",4277,"specimen"
"78","Oryza","Oryza longistaminata",-18.15,30.28,1946-03-30,"GBIF","K","K","K","Herbarium",4513,"specimen"
"79","Oryza","Oryza latifolia",-25.92,-58.34,NA,"GBIF","SI","SI","SI","HERB",4773,"specimen"
"80","Oryza","Oryza rufipogon",11.15768,107.27406,1932-11-25,"GBIF","MNHN","MNHN","MNHN","P",4620,"specimen"
"81","Oryza","Oryza rufipogon",-12.40466,130.85228,2017-03-30,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"82","Oryza","Oryza rufipogon",-12.45,132.966667,1983-05-25,"GBIF","MEL","MEL","MEL","MEL",4601,"specimen"
"83","Oryza","Oryza rufipogon",-12.383333,132.966667,1980-04-20,"GBIF","UNSW","UNSW","UNSW","UNSW",4878,"specimen"
"84","Oryza","Oryza rufipogon",18.74,109.17,1994-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"85","Oryza","Oryza latifolia",12.88333,-86.15,1972-01-19,"MO","MICH","MICH","MICH",NA,267,"specimen"
"86","Oryza","Oryza rufipogon",-14.07185,132.5928,2001-04-20,"GBIF","DNA","DNA","DNA","DNA",4352,"specimen"
"87","Oryza","Oryza punctata",12.0375,13.921667,1994-10-27,"GBIF","FR","FR","FR","Herbarium Senckenbergianum",4396,"specimen"
"88","Oryza","Oryza barthii",13,-0.216,2000-09-06,"GBIF","AAU","AAU","AAU","Herbarium",4161,"specimen"
"89","Oryza","Oryza sativa",24.357731,116.169884,1932-01-01,"GBIF","PE","PE","PE",NA,4697,"specimen"
"90","Oryza","Oryza barthii",13.07,-3.07,1962-09-16,"GBIF","K","K","K","Herbarium",4513,"specimen"
"91","Oryza","Oryza barthii",12.0375,13.921667,1994-10-21,"GBIF","FR","FR","FR","Herbarium Senckenbergianum",4396,"specimen"
"92","Oryza","Oryza punctata",-27.625,32.125,1981-02-25,"GBIF","SANBI","SANBI","SANBI","PRECIS",3318,"specimen"
"93","Oryza","Oryza latifolia",-23.928889,-58.580278,2004-02-13,"GBIF","NHMUK","NHMUK","NHMUK","BOT",1748,"specimen"
"94","Oryza","Oryza latifolia",13.8,-90.06667,2004-02-13,"GBIF","LAGU","LAGU","LAGU","Herbarium LAGU",4538,"specimen"
"95","Oryza","Oryza australiensis",-19.1731,136.2731,1999-02-01,"GBIF","DNA","DNA","DNA","NT",4352,"specimen"
